rank,node_id,betweenness,lat,lon,pct_of_total
1,15034,11159.594000,40.745750,-73.939933,0.060878
2,6293,10761.970000,40.745601,-73.939266,0.058709
3,23392,8180.796000,40.745835,-73.940323,0.044628
4,6285,8180.306000,40.745948,-73.940834,0.044625
5,27886,8179.820000,40.746025,-73.941180,0.044623
6,6640,8179.448000,40.746143,-73.941722,0.044621
7,114,7774.518000,40.762073,-73.961990,0.042412
8,60622,7760.418000,40.762014,-73.962032,0.042335
9,16437,7760.048000,40.761802,-73.962183,0.042333
10,113,7759.678000,40.761215,-73.962611,0.042331
11,25477,7759.308000,40.761168,-73.962640,0.042329
12,25475,7758.938000,40.761126,-73.962661,0.042327
13,25476,7758.568000,40.761086,-73.962681,0.042325
14,25474,7758.198000,40.761048,-73.962693,0.042323
15,25473,7757.828000,40.760997,-73.962709,0.042321
16,20361,7757.458000,40.760951,-73.962715,0.042319
17,25472,7757.088000,40.760901,-73.962719,0.042317
18,25471,7756.718000,40.760852,-73.962716,0.042315
19,16439,7756.348000,40.760809,-73.962707,0.042313
20,25470,7755.978000,40.760763,-73.962693,0.042311
21,20928,7755.608000,40.760717,-73.962674,0.042309
22,25469,7755.238000,40.760659,-73.962646,0.042307
23,16440,7754.868000,40.760622,-73.962623,0.042304
24,25468,7754.498000,40.760578,-73.962586,0.042302
25,25467,7754.128000,40.760529,-73.962530,0.042300
26,16438,7753.758000,40.760498,-73.962483,0.042298
27,25466,7753.388000,40.760461,-73.962428,0.042296
28,25465,7753.018000,40.760427,-73.962365,0.042294
29,112,7752.648000,40.760398,-73.962305,0.042292
30,26234,7752.278000,40.760173,-73.961784,0.042290
31,16435,7751.908000,40.760086,-73.961586,0.042288
32,25464,7751.538000,40.760051,-73.961504,0.042286
33,25463,7751.168000,40.760015,-73.961428,0.042284
34,25462,7750.798000,40.759971,-73.961343,0.042282
35,16442,7750.428000,40.759934,-73.961276,0.042280
36,25461,7750.058000,40.759753,-73.960962,0.042278
37,16441,7749.688000,40.759670,-73.960820,0.042276
38,25460,7749.318000,40.759638,-73.960757,0.042274
39,25459,7748.948000,40.759588,-73.960655,0.042272
40,15031,7748.578000,40.759545,-73.960560,0.042270
41,69151,7748.208000,40.758976,-73.959252,0.042268
42,42102,7747.838000,40.754712,-73.949446,0.042266
43,16430,7747.468000,40.754475,-73.948901,0.042264
44,20922,7747.098000,40.753076,-73.945676,0.042262
45,25513,7746.728000,40.753003,-73.945508,0.042260
46,18197,7746.358000,40.752927,-73.945340,0.042258
47,25514,7745.988000,40.752808,-73.945040,0.042256
48,51911,7745.618000,40.752481,-73.944311,0.042254
49,25517,7745.248000,40.751823,-73.942804,0.042252
50,25518,7744.878000,40.751798,-73.942754,0.042250
51,42101,7744.508000,40.751770,-73.942707,0.042248
52,25519,7744.138000,40.751739,-73.942664,0.042246
53,18196,7743.768000,40.751711,-73.942637,0.042244
54,25520,7743.398000,40.751680,-73.942616,0.042242
55,25521,7743.028000,40.751637,-73.942597,0.042240
56,18195,7742.658000,40.751605,-73.942586,0.042238
57,23137,7742.288000,40.751565,-73.942580,0.042236
58,25522,7741.918000,40.751526,-73.942580,0.042234
59,25523,7741.548000,40.751495,-73.942585,0.042232
60,23136,7741.178000,40.751459,-73.942595,0.042230
61,25524,7740.808000,40.751419,-73.942613,0.042228
62,18194,7740.438000,40.751380,-73.942641,0.042226
63,18193,7740.068000,40.750666,-73.943291,0.042224
64,51910,7739.698000,40.750624,-73.943328,0.042222
65,51908,7739.328000,40.750596,-73.943347,0.042220
66,36347,7738.958000,40.750562,-73.943360,0.042218
67,51907,7738.588000,40.750531,-73.943363,0.042216
68,36346,7738.218000,40.750502,-73.943358,0.042214
69,104,7738.080000,40.759643,-73.964000,0.042213
70,51906,7737.848000,40.750465,-73.943343,0.042212
