rank,node_id,betweenness,lat,lon,pct_of_total
1,16730,8919.162000,37.745464,-122.451675,0.036380
2,3818,8589.631000,37.746777,-122.443998,0.035036
3,15887,8566.670000,37.745499,-122.451563,0.034942
4,19551,8564.950000,37.745766,-122.450758,0.034935
5,44189,8564.468000,37.745709,-122.450929,0.034933
6,8919,8564.308000,37.745614,-122.451217,0.034933
7,23264,8564.154000,37.745516,-122.451506,0.034932
8,3819,8403.425000,37.746744,-122.444075,0.034277
9,25247,8403.365000,37.746711,-122.444168,0.034276
10,25359,8403.307000,37.746687,-122.444268,0.034276
11,52221,8403.251000,37.746675,-122.444352,0.034276
12,52220,8403.195000,37.746673,-122.444377,0.034276
13,3820,8403.145000,37.746663,-122.444503,0.034275
14,3756,8349.661000,37.746947,-122.444842,0.034057
15,3821,8323.897000,37.746693,-122.444568,0.033952
16,25292,8323.839000,37.746716,-122.444639,0.033952
17,3822,8323.783000,37.746743,-122.444706,0.033952
18,25280,8323.731000,37.746783,-122.444762,0.033952
19,19558,8323.683000,37.746823,-122.444792,0.033951
20,19559,8323.635000,37.746867,-122.444813,0.033951
21,7923,8188.542000,37.746404,-122.447757,0.033400
22,64032,8186.062000,37.746374,-122.447875,0.033390
23,33378,8185.844000,37.746286,-122.448228,0.033389
24,49818,8185.636000,37.746137,-122.448830,0.033388
25,8922,8185.436000,37.746092,-122.449014,0.033387
26,19549,8185.236000,37.746056,-122.449180,0.033387
27,49794,8185.050000,37.746032,-122.449317,0.033386
28,8921,8184.880000,37.746010,-122.449447,0.033385
29,49810,8184.722000,37.745990,-122.449599,0.033385
30,19548,8184.582000,37.745949,-122.449966,0.033384
31,49792,8184.452000,37.745936,-122.450070,0.033383
32,19550,8184.324000,37.745916,-122.450184,0.033383
33,49814,8184.196000,37.745883,-122.450332,0.033382
34,8920,8184.072000,37.745846,-122.450476,0.033382
35,49795,8183.954000,37.745809,-122.450618,0.033381
36,25260,8167.660000,37.746930,-122.444957,0.033315
37,49531,8147.172000,37.746915,-122.445057,0.033231
38,8971,8146.840000,37.746798,-122.445893,0.033230
39,49791,8146.538000,37.746731,-122.446380,0.033229
40,19556,8146.240000,37.746708,-122.446524,0.033228
41,49804,8145.944000,37.746685,-122.446653,0.033226
42,8970,8145.650000,37.746657,-122.446775,0.033225
43,8969,8145.366000,37.746622,-122.446911,0.033224
44,59155,8145.104000,37.746549,-122.447193,0.033223
45,51104,8144.870000,37.746440,-122.447615,0.033222
46,30029,7332.080000,37.744058,-122.420890,0.029907
47,7042,7239.486000,37.743125,-122.421493,0.029529
48,44092,7223.308000,37.743430,-122.421296,0.029463
49,3176,7199.138000,37.755424,-122.438891,0.029364
50,30960,6422.585000,37.761801,-122.446809,0.026197
51,3067,6351.500000,37.748165,-122.442514,0.025907
52,67226,6344.040000,37.746819,-122.443932,0.025877
53,25302,6343.744000,37.746834,-122.443909,0.025875
54,19557,6343.452000,37.746894,-122.443828,0.025874
