query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
9,1.000315,4.320000,40.820694,-73.954560,0.149837,13.561170
11,1.004458,46.220000,40.812120,-73.935934,0.464912,9.258219
16,1.003448,10.430000,40.759624,-73.999246,0.461538,2.668573
18,1.006385,20.970000,40.842397,-73.987722,0.288660,2.699529
24,1.002866,41.650000,40.827019,-73.952134,0.002762,13.433110
30,1.003923,28.340000,40.842397,-73.987722,0.493506,5.974223
31,1.000310,3.640000,40.743127,-73.951291,0.682093,3.501336
32,1.002985,7.380000,40.751051,-73.940222,0.635294,1.951276
38,1.002725,26.490000,40.732286,-74.003564,0.185345,8.613810
39,1.007810,85.610000,40.767680,-73.981978,0.491950,10.719612
46,1.002542,37.120000,40.726054,-73.939893,0.018182,6.746503
49,1.010939,186.220000,40.723613,-73.939406,0.217327,12.355996
53,1.000128,3.240000,40.766931,-73.959741,0.230237,7.694702
59,1.001621,20.320000,40.766719,-73.969127,0.001667,11.635560
62,1.020674,166.550000,40.789069,-73.976007,0.077160,7.914923
63,1.000312,4.270000,40.796095,-73.947698,0.264368,11.522425
70,1.009548,67.070000,40.752119,-73.931162,0.829694,4.507404
73,1.002770,47.120000,40.732779,-74.007537,0.873464,16.154229
77,1.001494,22.310000,40.723613,-73.939406,0.154545,11.675096
81,1.004215,62.730000,40.729832,-73.991431,0.693440,6.242826
88,1.002846,32.670000,40.732779,-74.007537,0.777778,11.186618
90,1.002220,43.130000,40.762042,-73.961916,0.379665,15.413517
91,1.011835,241.810000,40.722441,-74.011838,0.080483,19.176619
94,1.012286,188.080000,40.762130,-73.961949,0.378176,11.677444
103,1.000236,5.990000,40.793514,-73.949580,0.594070,4.797784
106,1.001665,21.070000,40.765298,-73.931631,0.895089,3.829565
107,1.000674,6.040000,40.798819,-73.952127,0.027708,8.127511
116,1.000151,2.410000,40.815726,-73.958128,0.803109,8.198611
118,1.007411,115.340000,40.772380,-73.982482,0.687589,15.240113
120,1.003134,49.420000,40.747218,-73.981387,0.330864,15.118914
124,1.000394,4.970000,40.830866,-73.920168,0.947541,11.146309
134,1.002988,42.850000,40.812120,-73.935934,0.302207,13.498510
135,1.001547,22.840000,40.753215,-73.966695,0.657353,13.903455
137,1.000517,6.540000,40.786253,-73.945659,0.797189,9.604578
142,1.006791,131.650000,40.732286,-74.003564,0.080082,18.367360
143,1.019058,76.720000,40.721923,-74.005369,0.253521,3.559970
147,1.011448,186.200000,40.762130,-73.961949,0.370920,12.899514
149,1.001444,16.900000,40.738948,-73.987222,0.271044,10.110778
152,1.023035,191.010000,40.730180,-73.992756,0.237395,8.082737
154,1.012204,186.200000,40.762130,-73.961949,0.441498,10.901973
156,1.000585,13.200000,40.868700,-73.920128,0.055381,17.888388
157,1.004698,64.990000,40.814016,-73.934870,0.009929,13.436581
167,1.012543,186.200000,40.762130,-73.961949,0.322422,7.836099
171,1.000191,1.910000,40.773098,-73.921385,0.964286,8.181551
174,1.005918,21.670000,40.715132,-73.992333,0.144186,3.149124
177,1.000237,2.720000,40.799552,-73.955302,0.791128,10.630876
178,1.000876,8.460000,40.754660,-73.975697,0.116505,8.177994
181,1.000288,2.030000,40.769799,-73.962668,0.862385,4.152417
188,1.004554,48.280000,40.801049,-73.959730,0.001894,10.194979
190,1.001223,2.110000,40.740687,-73.981811,0.670455,1.527101
192,1.000387,2.610000,40.776240,-73.962202,0.092251,2.329601
193,1.000214,2.680000,40.759682,-73.964109,0.824257,10.075347
196,1.000227,2.390000,40.713543,-74.006815,0.914683,7.008526
202,1.000187,2.470000,40.723613,-73.939406,0.063918,9.973003
203,1.014622,186.200000,40.762130,-73.961949,0.265568,8.344593
204,1.000224,3.880000,40.766931,-73.959741,0.343448,8.352024
209,1.001703,28.840000,40.842906,-73.917978,0.068085,13.258616
212,1.006013,9.040000,40.819913,-73.992109,0.019231,1.128605
215,1.015508,211.570000,40.762130,-73.961949,0.421533,10.003515
216,1.001291,2.900000,40.783850,-73.950339,0.704545,2.099716
221,1.001327,22.390000,40.756131,-73.942753,0.840602,6.582317
241,1.004281,22.370000,40.742825,-73.996570,0.004405,4.432372
244,1.000317,3.070000,40.757028,-73.969903,0.898263,4.573000
248,1.011036,183.520000,40.720045,-73.994099,0.152927,15.778907
249,1.000763,8.530000,40.759218,-73.965380,0.507527,7.704769
255,1.000526,7.000000,40.805686,-73.942635,0.013356,12.266123
258,1.000443,7.380000,40.798819,-73.952127,0.587629,15.496450
259,1.001771,20.590000,40.754688,-73.940192,0.272901,6.167736
272,1.000604,2.540000,40.739857,-73.979487,0.894977,3.582355
276,1.000275,1.340000,40.759014,-73.968434,0.913495,4.861391
277,1.003419,49.420000,40.747218,-73.981387,0.434783,13.936106
280,1.002071,32.190000,40.798819,-73.952127,0.495935,13.920292
281,1.002864,20.990000,40.750974,-73.998111,0.701754,6.569767
282,1.001214,15.550000,40.729832,-73.991431,0.685065,9.013088
288,1.013554,65.580000,40.710435,-74.011163,0.151852,4.289028
291,1.011910,40.460000,40.753456,-73.988832,0.286667,3.061156
292,1.012079,19.840000,40.707594,-73.921750,0.339286,1.270505
296,1.000788,7.000000,40.733755,-73.954720,0.119601,5.760104
299,1.001097,21.120000,40.747694,-73.983019,0.641791,18.226577
301,1.000537,2.240000,40.753586,-73.988736,0.773481,3.050002
303,1.015129,113.940000,40.815478,-73.958295,0.107034,6.692530
307,1.001546,17.340000,40.753456,-73.988832,0.525597,10.237732
316,1.000188,0.990000,40.714415,-73.930480,0.682927,4.197838
319,1.001971,19.250000,40.743127,-73.951291,0.927602,3.658618
344,1.000152,1.880000,40.729056,-73.993842,0.970856,5.060187
358,1.018127,259.590000,40.828109,-73.925770,0.043546,13.145313
366,1.012673,186.200000,40.762130,-73.961949,0.308725,9.035034
367,1.000891,10.620000,40.784008,-73.944166,0.021053,10.275091
383,1.000397,6.500000,40.747694,-73.983019,0.579327,15.729226
384,1.000733,7.110000,40.759218,-73.965380,0.575688,6.043886
385,1.001234,10.250000,40.866324,-73.965641,0.140000,6.776244
388,1.000477,5.660000,40.759218,-73.965380,0.717842,6.526287
393,1.000105,1.840000,40.762243,-73.966093,0.350289,15.426237
406,1.008907,53.960000,40.747548,-73.941083,0.267281,3.967437
411,1.000593,5.220000,40.776275,-73.964137,0.266476,3.314901
418,1.006065,100.100000,40.854443,-73.934656,0.012129,16.117003
426,1.002045,30.300000,40.747548,-73.941083,0.738494,5.350180
429,1.018791,270.940000,40.842679,-73.922852,0.111268,12.822682
435,1.002200,26.430000,40.817885,-73.938205,0.190972,10.499591
442,1.001469,9.190000,40.721099,-73.942902,0.751055,5.498219
443,1.003605,49.690000,40.766931,-73.959741,0.390625,7.425775
445,1.017915,186.200000,40.762130,-73.961949,0.200450,7.909089
450,1.003580,51.310000,40.732779,-74.007537,0.784091,13.744331
463,1.000164,2.610000,40.726931,-74.000053,0.974963,8.353324
464,1.002329,14.480000,40.820694,-73.954560,0.709302,5.163480
471,1.000403,8.560000,40.798819,-73.952127,0.745665,4.810906
478,1.002474,24.180000,40.731227,-73.990254,0.961303,8.385303
481,1.003618,39.430000,40.812120,-73.935934,0.313008,10.113525
