alpha,mean_nodes,std_nodes,mean_cost_ratio,std_cost_ratio,mean_time_ms,std_time_ms,pct_optimal,pct_no_path
0.000000,8963.680000,7169.097731,1.000000,0.000000,0.945107,0.788803,100.000000,0.000000
0.100000,7641.430000,6166.794017,1.000000,0.000000,0.832233,0.704073,100.000000,0.000000
0.200000,6494.460000,5272.446169,1.000000,0.000000,0.702142,0.613795,100.000000,0.000000
0.300000,5508.260000,4504.790816,1.000000,0.000000,0.602363,0.502633,100.000000,0.000000
0.400000,4674.450000,3836.913138,1.000000,0.000000,0.500290,0.423329,100.000000,0.000000
0.500000,3950.190000,3263.310643,1.000000,0.000000,0.425933,0.360239,100.000000,0.000000
0.600000,3310.500000,2740.166770,1.000000,0.000000,0.363492,0.300219,100.000000,0.000000
0.700000,2764.950000,2285.598667,1.000000,0.000000,0.337358,0.305217,100.000000,0.000000
0.800000,2267.870000,1862.130708,1.000000,0.000000,0.273484,0.257495,100.000000,0.000000
0.900000,1802.170000,1483.102829,1.000000,0.000000,0.214694,0.176663,100.000000,0.000000
1.000000,1339.510000,1145.408010,1.000000,0.000000,0.160690,0.141245,100.000000,0.000000
1.050000,1151.250000,1027.041123,1.000570,0.001452,0.131870,0.121848,61.000000,0.000000
1.100000,987.570000,912.292083,1.001424,0.002963,0.109137,0.112652,49.000000,0.000000
1.150000,849.460000,800.219638,1.002597,0.004629,0.087536,0.086189,41.000000,0.000000
1.200000,726.000000,678.603537,1.004859,0.010009,0.078144,0.079373,35.000000,0.000000
1.250000,617.740000,572.021514,1.008654,0.014615,0.060146,0.060158,32.000000,0.000000
1.300000,541.230000,522.874762,1.011735,0.015771,0.050658,0.054535,27.000000,0.000000
1.350000,467.080000,430.155616,1.013699,0.019248,0.050382,0.048683,28.000000,0.000000
1.400000,408.370000,365.623950,1.017244,0.024425,0.035967,0.036400,27.000000,0.000000
1.450000,348.300000,340.707573,1.019101,0.025841,0.029515,0.033948,25.000000,0.000000
1.500000,324.010000,314.799666,1.018576,0.023564,0.030300,0.034009,24.000000,0.000000
1.550000,307.070000,292.607083,1.022332,0.030896,0.030173,0.031219,24.000000,0.000000
1.600000,293.070000,264.002699,1.024658,0.032331,0.023709,0.025434,23.000000,0.000000
1.650000,279.960000,242.078786,1.028967,0.043949,0.021951,0.022614,22.000000,0.000000
1.700000,268.360000,221.388235,1.029036,0.043955,0.020514,0.020242,22.000000,0.000000
1.750000,257.610000,207.289358,1.031476,0.047057,0.019753,0.019055,22.000000,0.000000
1.800000,253.980000,202.369513,1.033078,0.048983,0.026608,0.032509,22.000000,0.000000
1.850000,249.900000,197.326202,1.033033,0.048988,0.020152,0.018594,22.000000,0.000000
1.900000,245.670000,198.696304,1.033933,0.048866,0.018980,0.019604,22.000000,0.000000
1.950000,238.470000,191.744958,1.035580,0.049291,0.017593,0.017490,22.000000,0.000000
2.000000,235.140000,182.406361,1.038389,0.053062,0.017424,0.016869,21.000000,0.000000
2.250000,222.720000,162.572819,1.046725,0.072539,0.016255,0.014451,21.000000,0.000000
2.500000,214.740000,151.176362,1.050096,0.073576,0.020747,0.017351,20.000000,0.000000
2.750000,214.140000,146.052252,1.057796,0.081355,0.018850,0.013777,19.000000,0.000000
3.000000,205.460000,133.706651,1.054871,0.077743,0.014698,0.011478,19.000000,0.000000
3.250000,202.550000,128.319318,1.058172,0.083809,0.014771,0.012825,19.000000,0.000000
3.500000,198.700000,123.110723,1.061848,0.088486,0.013618,0.009989,19.000000,0.000000
3.750000,198.340000,126.183376,1.062203,0.089260,0.013477,0.009826,20.000000,0.000000
4.000000,196.820000,123.351399,1.062699,0.089345,0.013453,0.009705,21.000000,0.000000
