query,src,goal,optimal_cost_m,total_edges,reachable_edges,density_eps1pct,density_eps5pct,density_eps10pct,density_eps20pct,density_eps50pct
2,6265,37194,14340.0800,84619,60347,4.7046,10.3570,15.2223,24.3302,46.6243
3,44131,60263,8736.6200,84619,60347,0.8757,2.4380,4.1681,7.8954,18.6093
4,16023,41090,8507.4400,84619,20928,0.6523,3.2629,5.7304,10.8581,17.5563
6,769,59735,7103.8200,84619,60347,3.7060,6.5033,10.0060,12.4570,18.4320
8,67969,5311,15252.2400,84619,60347,5.0993,16.2895,25.0298,33.4050,46.6550
9,53707,28693,13727.2200,84619,60347,3.3680,12.3719,16.1110,25.4895,45.8703
10,71932,25658,25125.4500,84619,60347,2.8398,8.4000,10.4965,14.2533,48.8425
11,18431,2747,10368.8700,84619,60347,3.3940,7.7382,13.3492,19.6528,28.9616
13,35773,67435,11682.8700,84619,60347,2.1130,8.7226,12.2656,18.1035,30.7000
14,56886,66803,5223.9400,84619,60347,0.5826,1.9357,3.5796,6.4135,10.8522
16,69092,3890,3025.3300,84619,60347,0.5318,0.6429,1.1983,1.7762,3.1860
18,8792,73969,3284.2000,84619,20928,0.2966,0.8532,1.6557,2.4900,4.5096
19,43001,76552,2831.3900,84619,60347,0.6204,1.3921,1.5528,1.9854,3.1187
21,23483,48555,2789.8200,84619,60347,0.9253,1.4418,2.5633,3.7557,6.5434
22,17159,35920,10512.4100,84619,20928,1.4961,4.6136,7.2809,12.3507,20.3784
24,19457,66557,14532.0800,84619,60347,8.3551,24.4910,30.5298,36.7565,44.7488
27,45758,72409,2294.5500,84619,60347,0.5164,0.9891,1.4500,2.2737,4.0476
30,11534,40397,7224.4200,84619,20928,1.2751,5.6512,8.0738,9.9292,15.7541
31,1016,55591,11737.4100,84619,60347,2.3044,7.1745,11.9630,17.9971,37.8520
32,23247,24300,2472.1800,84619,60347,0.3593,0.7551,1.1841,1.8176,2.9461
35,39099,8571,3430.7400,84619,20928,0.2588,0.4881,0.9052,1.9464,4.1728
38,40774,2568,9721.6300,84619,60347,5.3463,13.0975,16.8686,22.2326,29.3988
39,62592,67563,10962.0100,84619,60347,2.1579,6.7243,14.7449,23.0137,34.9981
40,2695,48190,1729.8700,84619,60347,0.1832,0.3593,0.4219,0.6228,1.3342
45,26854,64505,6425.4400,84619,60347,0.7835,1.7313,3.3349,6.5269,14.7366
46,52251,22662,14602.4400,84619,60347,4.6053,14.6326,22.8093,30.6468,45.7013
48,52256,35222,17633.4200,84619,60347,2.5857,8.5123,16.9158,27.5541,46.3170
49,77373,63335,17023.5300,84619,60347,2.3186,10.6690,18.1614,29.0254,50.3114
52,27266,52992,10993.9100,84619,60347,1.7384,7.4168,13.4662,23.9355,36.2944
53,6910,206,25352.7900,84619,60347,7.9935,26.4054,33.6981,55.4060,69.7137
54,23419,50636,2833.3700,84619,60347,0.4384,0.8296,1.2562,1.6249,3.6351
55,50015,54268,12408.4900,84619,60347,3.0218,6.9760,12.2786,21.4266,37.7847
56,18141,71910,21759.1000,84619,60347,2.4203,7.6590,9.7082,13.1803,21.3664
58,33827,55820,14644.2800,84619,60347,4.2095,10.0108,14.6409,20.7660,43.2893
59,62623,75450,12531.8300,84619,60347,2.6448,11.1263,19.2853,26.1466,32.5979
60,22299,43585,13254.7100,84619,60347,1.4288,4.6065,7.6224,11.4714,28.6874
62,49080,2693,8056.0800,84619,60347,1.4678,4.1634,6.8093,8.8656,19.3704
63,69163,25939,13682.0700,84619,60347,3.6907,19.5689,27.6735,34.6471,42.9419
64,48925,42941,9290.3200,84619,60347,1.1652,4.4860,6.7207,11.3131,23.2773
65,21834,18047,6570.4700,84619,60347,1.3189,3.7935,7.9308,12.4842,20.7046
67,15707,21976,6252.4400,84619,20928,0.6263,0.9868,1.3886,2.0456,5.0320
70,61373,6776,7024.1700,84619,60347,0.5661,1.8755,3.4059,6.5210,14.3750
73,5530,3748,17008.3700,84619,60347,3.7876,22.8318,36.2425,44.9970,48.3248
77,54384,51005,14932.7500,84619,60347,3.1045,10.3027,16.5554,27.9169,45.0230
79,62003,52733,2806.5000,84619,60347,0.2163,0.9383,1.2409,1.8459,3.9755
81,67172,26736,14881.8500,84619,60347,5.1052,15.4150,23.6531,31.8853,46.1977
83,7392,55680,5971.4900,84619,60347,1.1050,3.2617,5.5094,7.4877,10.2542
85,26309,63734,9969.0500,84619,60347,1.7348,7.7264,12.5137,19.4732,28.8316
88,37157,67863,11477.8900,84619,60347,2.6330,9.4104,12.9794,23.1426,33.1663
90,34698,22671,19431.0900,84619,60347,10.7635,21.7764,30.2107,42.6429,59.7596
91,25184,42107,20431.0900,84619,60347,6.7609,34.9508,44.9934,48.6226,52.4398
93,49811,2811,2892.0500,84619,60347,0.6500,0.9738,1.2491,1.8518,4.1338
94,56250,72082,15309.0400,84619,60347,2.5373,11.8094,17.0907,28.5740,50.9460
