query,src,goal,optimal_cost_m,total_edges,reachable_edges,density_eps1pct,density_eps5pct,density_eps10pct,density_eps20pct,density_eps50pct
0,15795,860,11013.9100,78865,77925,3.2207,15.2869,30.5725,49.5543,76.8389
1,54886,6265,2490.0400,78865,77925,0.6150,1.2769,2.2038,3.1662,5.6679
2,37194,44131,9953.3900,78865,77925,2.0960,12.7268,20.0710,39.3356,68.3941
3,60263,16023,6374.5500,78865,77925,1.3098,4.7930,9.4592,16.5866,33.3152
4,41090,67221,6108.5500,78865,77925,0.9358,3.0787,5.2267,9.8751,22.1962
5,64820,769,4079.9900,78865,77925,1.2008,2.7528,4.1489,6.1079,13.0945
6,59735,62955,12935.0800,78865,77925,2.8530,14.8469,26.3412,46.8953,85.6020
7,64925,67969,1037.5100,78865,77925,0.0507,0.1674,0.1801,0.1978,0.5009
8,5311,53707,6336.0300,78865,77925,2.8644,5.8264,9.0496,14.2180,28.1278
9,28693,71932,10283.7100,78865,77925,2.5728,10.5433,24.6003,42.6577,74.2700
10,25658,18431,8157.2400,78865,77925,3.0901,8.8949,15.9285,26.3945,55.8473
11,2747,59150,12636.3300,78865,77925,8.1646,29.8852,42.5829,58.0422,95.0016
12,65725,35773,7709.6000,78865,77925,1.2870,7.7335,11.4893,18.4290,40.1927
13,67435,56886,3422.1900,78865,77925,0.6581,1.1399,2.6260,4.5800,9.5429
14,66803,31551,6329.7600,78865,77925,0.9941,4.7537,9.0585,15.2996,36.6855
15,11394,69092,6016.1900,78865,77925,1.5343,3.0825,4.9604,9.4871,28.8924
16,3890,41606,4506.5000,78865,77925,0.5364,1.7143,3.5922,6.7977,16.6817
17,10627,8792,11449.9600,78865,77925,1.9045,5.1037,9.3971,15.8385,36.7413
18,43001,23897,13253.2600,78865,77925,6.6722,28.4397,43.3475,61.1146,95.6483
19,68148,23483,13366.3900,78865,77925,5.4359,20.1268,35.3021,60.9548,94.1444
20,48555,17159,2474.2700,78865,77925,0.3107,0.5300,0.7012,1.2604,2.5512
21,35920,67121,2502.7700,78865,77925,0.3664,0.6568,1.0448,2.0364,4.3213
22,69479,19457,4602.9000,78865,77925,0.5858,2.4066,4.4747,8.5653,19.0122
23,66557,52995,6383.6700,78865,77925,0.9053,3.1712,5.9380,9.8168,27.5648
24,40757,9692,4249.9400,78865,77925,1.7270,4.3746,6.0039,8.4803,15.5811
25,45758,72409,3479.7200,78865,77925,0.3233,0.8457,1.3073,3.0102,8.5526
26,71211,65697,10825.0000,78865,77925,2.5170,14.6047,28.9710,44.0005,74.0899
27,37065,32606,2645.6800,78865,77925,0.4894,0.6226,1.1716,1.8804,4.6687
28,11534,40397,6608.1400,78865,77925,1.2477,3.6341,7.1946,13.9821,32.2006
29,1016,55591,13939.4500,78865,77925,2.7617,13.6981,36.1821,61.9831,96.0629
31,9268,12185,6990.8400,78865,77925,1.3187,5.0187,9.6215,18.2210,40.5478
32,63704,39099,2345.3900,78865,77925,0.3969,0.8140,1.4874,2.6628,5.5005
33,8571,38044,1206.9100,78865,77925,0.1560,0.2599,0.5668,0.7900,1.3428
34,51214,61228,6766.6400,78865,77925,1.1742,4.2059,7.6904,17.0469,35.3985
35,48984,40774,13594.8700,78865,77925,1.6446,4.6954,9.4009,45.7947,83.6493
36,2568,62592,10332.4600,78865,77925,4.8513,18.2730,25.2292,36.1821,66.0559
37,67563,2695,6947.9000,78865,77925,1.4265,7.0652,11.0924,17.1762,34.9648
